Process(_Total) IO Other Bytes sec,Network_I(Intel R _Pro_1000MT) Bytes Received sec,Process(_Total) IO Other Operations sec,Process(_Total) IO Data Bytes sec,Process(_Total) IO Read Bytes sec,Network_I(Intel R _Pro_1000MT) Bytes Received sec.1,Process(_Total) Pool Paged Bytes,Network_I(Intel R _Pro_1000MT) Bytes Sent sec,Network_I(Intel R _Pro_1000MT) Packets Received sec,Process(_Total) IO Data Operations sec,Label
7303.9942,1230.276919,378.7364895,11281.36068,5365.911383,1230.276919,8024424,96.80080667,3.466695556,10.40008667,0
7516.015684,214.204247,339.0067214,59039.23722,27033.73599,214.204247,8139840,79.60157823,1.533363735,255.6050678,0
4759.774932,148.1992195,201.2656067,55078.44325,27263.52308,148.1992195,7914888,103.1327902,1.999989467,258.6653044,0
5603.164065,2586.450079,279.3315419,5669.830304,2817.848595,2586.450079,8561256,135.9991278,5.533297846,16.73322602,1
10670.22596,188.3467361,501.6356964,5636.534429,351.8250359,188.3467361,7918776,72.80518082,1.466771042,9.734026007,0
5061.915399,141.064309,256.3957148,22848.2848,10866.48505,141.064309,7971504,100.3316565,1.933301021,23.93293333,0
3338.170988,4560.851446,107.2678766,19688.28875,9851.177788,4560.851446,10941136,238.8026937,8.466762172,166.6018793,6
333690.9886,44957.93899,909.1213147,200580.815,148447.7042,44957.93899,10161448,12351.77004,51.865981,346.0620917,2
13279.66735,2972.401118,697.5648865,25109.53579,9145.080329,2972.401118,10217424,428.6860576,9.733773624,15.00067853,4
7087.168769,4804.378829,303.4653294,22645.83354,9145.426366,4804.378829,11066960,418.7981545,11.46661614,169.132588,6
14722.3281,4754.933716,678.2572118,20767.64383,9149.405791,4754.933716,10214848,496.6597432,13.59981042,15.79977975,4
1219.073036,2495.532292,49.43632436,5324.158522,2616.651287,2495.532292,8557848,125.4613745,5.010438279,18.83924793,1
3386.731188,9872.260414,125.5332538,75521.2855,37484.97626,9872.260414,8144320,229.5998546,8.066661558,275.9331586,0
984.9293411,58.86642806,53.26645076,4692.514313,179.0659409,58.86642806,4945416,16.66659911,0.799996757,2.866655047,0
2217.452076,107.8659569,106.7992973,5963.294095,239.465091,107.8659569,8135880,79.59947624,1.466657016,3.799974996,0
7196.177422,6934.842487,368.7355925,65595.00188,32522.86592,6934.842487,7689056,197.7345448,6.200037986,268.2016432,0
13925.48964,87.73179803,670.8549267,5728.299755,95.06500303,87.73179803,7596296,86.19849153,1.1333135,1.5333065,0
7140.122576,86.53320296,366.1994483,1594.997597,239.4663059,86.53320296,7823296,79.59988007,1.133331626,3.733327708,0
3253.888045,116.3959952,114.396064,5161.622406,95.06339585,116.3959952,8393752,82.39716499,1.599944951,1.466616205,0
4014.212226,3703.406118,156.2697379,128252.3206,62952.9039,3703.406118,7511592,155.4697222,5.733446015,313.7394994,0
8127.290792,3019.795737,411.6665065,11822.05748,3715.230425,3019.795737,8698848,132.7484958,12.09220532,16.01220595,1
4930.411603,2533.272628,244.7339093,9151.488203,2374.13892,2533.272628,8692848,122.400288,4.733344472,13.46669836,1
